"id","name","description","style_id","glass_id","glass_name","label","availability_id","availability_name","is_organic"
"mvsNhg","Saranac Imperial Stout","Saranac Imperial Stout is part of our High Peaks Series more complex and flavorful; beers that are meant to be sipped and savored. Saranac Imperial Stout is brewed with 11 malts to balance a deliciouse chocolate and coffee roasted flavor with a spicy herbal character of the generous kettle and dry hops.","43","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/mvsNhg/upload_2FZAjV-large.png","4","Seasonal","N"
"NF3eP1","Shock Top Wheat IPA","Shock Top Wheat IPA is no traditional beer. Its a unique hybrid that combines the fresh flavor and smoothness of wheat beer with the crisp hop bitterness of an IPA. The result is a beer that is truly like no other.

To serve, pour down the side of the glass until a half inch is left in the bottle. Swirl the remaining brew and pour to produce a rich, thick collar of foam that releases the citrusy Cascade hop aroma.","112","Weizen","Weizen","http://s3.amazonaws.com/brewerydbapi/beer/NF3eP1/upload_9CRSIf-large.png","1","Year Round","N"
"dimtrs","Bud Light","Introduced nationally in 1982, Bud Light is brewed using a blend of domestic and imported hops as well as a combination of barley malts and rice. It contains more malt and hops by ratio of ingredients than Budweiser, which gives the brew a distinctively clean and crisp taste.","94","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/dimtrs/upload_rH2KNV-large.png","1","Year Round","N"
"0cACKo","London Pride","""London Pride is a smooth and astonishingly complex beer, which has a distinctive malty base complemented by a rich balance of well developed hop flavours from the Target, Challenger and Northdown varieties in the brew.""","4","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/0cACKo/upload_hT6SyA-large.png","1","Year Round","N"
"NHSaAZ","Fuller's ESB","ESB was launched into the Fuller's family in 1971, as a winter brew to replace a beer named Old Burton Extra. The potential of the beer was soon realised and ESB was installed as a permanent fixture, creating an immediate impact. 

Not only was it one of the strongest regularly brewed draught beers in the country (at 5.5% ABV), it was also one of the tastiest, and as the awareness of the beer grew, so did its popularity. ESB's reputation was soon enhanced after being named CAMRA's (Campaign for Real Ale) Beer of the Year in 1978, and the beer has not stopped winning since! 

With three CAMRA Beer of the Year awards, two World Champion Beer awards, and numerous other gold medals to speak of, ESB is, quite simply, the Champion Ale.","5","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/NHSaAZ/upload_nJx62b-large.png","1","Year Round","N"
"Jc7iGI","Stella Artois","Stella Artois was first brewed as a Christmas beer in leuven. It was named Stella from the star of Christmas, and Artois after Sebastian Artois, founder of the brewery. It's brewed to perfection using the original Stella Artois yeast and the celebrated Saaz hops. It's the optimum premium lager, with it's full flavour and clean crisp taste.","97","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/Jc7iGI/upload_UEkGnc-large.png","1","Year Round","N"
"8II2YO","Brooklyn Pilsner","Brooklyn Pilsner is a refreshing golden lager beer, brewed in the style favored by New Yorks pre-prohibition brewers. In the 1840s, the pilsner style emerged from central Europe to become the worlds most popular style of beer. Like its ancestors, Brooklyn Pilsner is traditionally brewed from the finest German two-row barley malts. Germangrown Perle and Hallertauer hops provide a crisp, snappy bitterness and fresh, floral aroma. The flavor of the malt comes through in the finish. We ferment Brooklyn Pilsner at cool temperatures, and then give it a long, gentle maturation (lagering), which results in a beer of superior complexity and smoothness. We believe that you will find there to be none finer. Unlike mass-marketed so-called pilsners, Brooklyn Pilsner does not contain cheap fillers such as corn or rice, nor does it contain any preservatives or stabilizers. Brooklyn Pilsner is the real thing.","75","Pilsner","Pilsner","","1","Year Round","N"
"iO90HX","Classic Amber","The brilliant amber color, premium blends of malts and subtle, yet unmistakable citrus hop complexity make Classic Amber a 100% all-malt masterpiece.","32","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/iO90HX/upload_oBFdPz-large.png","1","Year Round","N"
"vdiLuR","Foster's Lager Beer","Foster's Lager is a uniquely Australian beer, brewed with the finest sun-dried malted barley, the purest water, and Foster's own specially bred 'Pride of Ringwood' hops imported directly from Australia to give the beer an authentic flavor. Foster's Lager Beer has always been at the forefront of brewing technology and the Foster's Lager brewed today is the result of over a century of attention of the brewing art. Quality has been the strength of Foster's since its earliest days and remains a paramount concern at every stage of the beer's journey from brewery to consumer. Foster's crisp, clean flavour won it immediate international acclaim when it was first brewed in Melbourne in 1888. Today, more than one hundred years later, it is still recognized as one of the world's best beers.","97","","","http://s3.amazonaws.com/brewerydbapi/beer/vdiLuR/upload_rdjbx5-large.png","","","N"
"i2RMeq","UFO Hefeweizen","UFO Hefeweizen is an American unfiltered wheat beer.  Perhaps UFO's initial sensory perception is also its most prominent: a cloudy golden color and a dense which has not been filtered out accounts for the cloudiness of UFO.  Wheat malt tends to create a larger head than barley malt the cereal grain most often used in brewing.  When served in a traditional wheat beer glass with a lemon UFO presents an appealing and distinctive visual image.			
The aroma has a faint but clear citrus-like character.  This is produced by the special yeast and accounts for the Bavarian tradition of serving hefeweizens with a lemon.  The lemon accentuates the yeast's fruity	 tart fragrance.  UFO has a soft mouthfeel and a refreshing	 light body.  The wheat malts and subtle hopping give the beer a mild delicate flavor.  UFO has a clean finish.  Unlike some imported hefeweizens UFO does not have the spicy tropical flavors typical of European-brewed style.			
The overall character is a cloudy appearance with a citrus-like aroma	 light body and clean finish.  Serve with a lemon.","48","Weizen","Weizen","","","","N"
